user_id,axis1_kmeans_label,axis2_kmeans_label,axis3_kmeans_label,axis4_kmeans_label
USR-00350,Conservative,Growing,Status spender,Power user
USR-00351,Aggressive,Entry,Tech/Digital native,Casual
USR-00352,Aggressive,Entry,Traveler,Power user
USR-00353,Moderate,Established,Family/Home,Power user
USR-00354,,,Traveler,Casual
USR-00355,Conservative,Established,Family/Home,Power user
USR-00356,,,Traveler,
USR-00357,Distressed,Entry,Traveler,Power user
USR-00358,,,Traveler,Dormant
USR-00359,Aggressive,Entry,Traveler,Power user
USR-00360,Conservative,Affluent,Family/Home,Power user
USR-00361,,,Traveler,Casual
USR-00362,Moderate,Affluent,Family/Home,Power user
USR-00363,Conservative,Entry,Family/Home,Power user
USR-00364,Aggressive,Entry,Traveler,Power user
USR-00365,Aggressive,Entry,Tech/Digital native,Casual
USR-00366,,,Essential spender,Casual
USR-00367,Aggressive,Entry,Traveler,Casual
USR-00368,,,Foodie/Social,At-risk
USR-00369,Moderate,Growing,Status spender,Power user
USR-00370,,,Family/Home,Casual
USR-00371,Conservative,Affluent,Family/Home,Power user
USR-00372,Aggressive,Entry,Traveler,Casual
USR-00373,Conservative,Entry,Family/Home,Power user
USR-00374,Distressed,Entry,Traveler,Power user
USR-00375,Conservative,Growing,Status spender,Power user
USR-00376,Aggressive,Entry,Traveler,Power user
USR-00377,Aggressive,Entry,Essential spender,Casual
USR-00378,Conservative,Affluent,Family/Home,Power user
USR-00379,,,Traveler,Dormant
USR-00380,Moderate,Entry,Traveler,Casual
USR-00381,Conservative,Affluent,Family/Home,Power user
USR-00382,Aggressive,Entry,Traveler,Power user
USR-00383,,,Traveler,Dormant
USR-00384,,,Traveler,Casual
USR-00385,Moderate,Growing,Status spender,Power user
USR-00386,,,Essential spender,Casual
USR-00387,Moderate,Entry,Tech/Digital native,Power user
USR-00388,Aggressive,Entry,Traveler,Casual
USR-00389,Aggressive,Entry,Essential spender,Casual
USR-00390,Conservative,Established,Family/Home,Power user
USR-00391,Aggressive,Entry,Traveler,Power user
USR-00392,Conservative,Established,Family/Home,Power user
USR-00393,Conservative,Established,Family/Home,Power user
USR-00394,Aggressive,Entry,Traveler,Power user
USR-00395,Conservative,Affluent,Family/Home,Power user
USR-00396,Moderate,Established,Family/Home,Power user
USR-00397,Conservative,Entry,Traveler,Power user
USR-00398,Distressed,Entry,Traveler,Power user
USR-00399,Aggressive,Growing,Status spender,Power user
USR-00400,,,Traveler,At-risk
USR-00401,Conservative,Established,Family/Home,Power user
USR-00402,Aggressive,Entry,Essential spender,Casual
USR-00403,Distressed,Entry,Traveler,Casual
USR-00404,Aggressive,Entry,Essential spender,Casual
USR-00405,Aggressive,Entry,Traveler,At-risk
USR-00406,Conservative,Entry,Traveler,Casual
USR-00407,Conservative,Established,Family/Home,Power user
USR-00408,Conservative,Affluent,Family/Home,Power user
USR-00409,,,Traveler,Casual
USR-00410,,,Family/Home,Casual
USR-00411,Conservative,Entry,Family/Home,Power user
USR-00412,Aggressive,Entry,Essential spender,Casual
USR-00413,,,Traveler,Casual
USR-00414,,,Foodie/Social,Dormant
USR-00415,Conservative,Growing,Status spender,Power user
USR-00416,,,Traveler,Dormant
USR-00417,Moderate,Entry,Traveler,Power user
USR-00418,Aggressive,Entry,Traveler,Power user
USR-00419,,,Traveler,At-risk
USR-00420,,,Traveler,Casual
USR-00421,,,Traveler,Power user
USR-00422,Aggressive,Growing,Status spender,Power user
USR-00423,Aggressive,Entry,Traveler,Power user
USR-00424,Conservative,Entry,Traveler,At-risk
USR-00425,Moderate,Established,Family/Home,Power user
USR-00426,Aggressive,Entry,Traveler,Power user
USR-00427,Distressed,Entry,Traveler,Power user
USR-00428,Aggressive,Entry,Traveler,
USR-00429,Conservative,Established,Family/Home,Power user
USR-00430,Conservative,Entry,Family/Home,Power user
USR-00431,Conservative,Entry,Traveler,Power user
USR-00432,Aggressive,Growing,Status spender,Power user
USR-00433,,,Traveler,Dormant
USR-00434,Aggressive,Entry,Traveler,Power user
USR-00435,,,Status spender,Casual
USR-00436,,,Traveler,Dormant
USR-00437,Conservative,Entry,Traveler,Power user
USR-00438,Aggressive,Entry,Tech/Digital native,Casual
USR-00439,,,Foodie/Social,Dormant
USR-00440,Moderate,Established,Family/Home,Power user
USR-00441,Aggressive,Entry,Essential spender,Casual
USR-00442,Aggressive,Entry,Traveler,Power user
USR-00443,Conservative,Entry,Traveler,Power user
USR-00444,Aggressive,Entry,Tech/Digital native,Power user
USR-00445,Conservative,Entry,Traveler,Power user
USR-00446,Conservative,Growing,Status spender,Power user
USR-00447,,,Traveler,Casual
USR-00448,Distressed,Entry,Traveler,Power user
USR-00449,Conservative,Entry,Essential spender,Casual
USR-00450,,,Traveler,At-risk
USR-00451,,,Traveler,Dormant
USR-00452,Distressed,Entry,Traveler,Power user
USR-00453,Conservative,Entry,Traveler,Power user
USR-00454,Distressed,Entry,Traveler,Casual
USR-00455,Conservative,Established,Family/Home,Power user
USR-00456,Conservative,Entry,Traveler,Casual
USR-00457,Distressed,Entry,Traveler,Casual
USR-00458,Moderate,Established,Family/Home,Power user
USR-00459,Distressed,Entry,Traveler,Power user
USR-00460,Conservative,Entry,Family/Home,Power user
USR-00461,Conservative,Established,Family/Home,Power user
USR-00462,Conservative,Established,Family/Home,Power user
USR-00463,,,Traveler,Dormant
USR-00464,Distressed,Entry,Traveler,Casual
USR-00465,Distressed,Entry,Traveler,Power user
USR-00466,Moderate,Entry,Family/Home,Power user
USR-00467,Conservative,Established,Family/Home,Power user
USR-00468,Conservative,Entry,Traveler,Power user
USR-00469,Conservative,Entry,Traveler,Casual
USR-00470,Distressed,Entry,Traveler,Casual
USR-00471,,,Status spender,Casual
USR-00472,Moderate,Established,Family/Home,Power user
USR-00473,Moderate,Entry,Family/Home,Power user
USR-00474,Conservative,Affluent,Family/Home,Power user
USR-00475,Conservative,Affluent,Traveler,Power user
USR-00476,Conservative,Growing,Status spender,Power user
USR-00477,Aggressive,Entry,Traveler,Casual
USR-00478,Conservative,Affluent,Family/Home,Power user
USR-00479,Conservative,Entry,Family/Home,Power user
USR-00480,Aggressive,Entry,Traveler,Casual
USR-00481,,,Family/Home,Casual
USR-00482,Conservative,Entry,Family/Home,Power user
USR-00483,Moderate,Entry,Traveler,Casual
USR-00484,Aggressive,Entry,Essential spender,Power user
USR-00485,Conservative,Entry,Tech/Digital native,Power user
USR-00486,Moderate,Entry,Essential spender,Casual
USR-00487,Distressed,Entry,Traveler,Power user
USR-00488,Conservative,Entry,Family/Home,Casual
USR-00489,Moderate,Affluent,Family/Home,Power user
USR-00490,,,Traveler,Dormant
USR-00491,Conservative,Established,Family/Home,Power user
USR-00492,Aggressive,Growing,Status spender,Power user
USR-00493,Moderate,Affluent,Traveler,Power user
USR-00494,Conservative,Affluent,Family/Home,Power user
USR-00495,Moderate,Entry,Tech/Digital native,
USR-00496,Aggressive,Entry,Traveler,Casual
USR-00497,Aggressive,Entry,Tech/Digital native,Casual
USR-00498,Conservative,Entry,Traveler,Power user
USR-00499,,,Family/Home,Power user
USR-00500,,,Traveler,Power user
USR-00501,Moderate,Entry,Essential spender,Casual
USR-00502,Aggressive,Entry,Traveler,Casual
USR-00503,Conservative,Entry,Traveler,Power user
USR-00504,Conservative,Entry,Family/Home,Power user
USR-00505,Distressed,Entry,Traveler,Casual
USR-00506,Moderate,Entry,Traveler,Dormant
USR-00507,Aggressive,Entry,Essential spender,Casual
USR-00508,Conservative,Entry,Traveler,Power user
USR-00509,Conservative,Growing,Status spender,Casual
USR-00510,Aggressive,Entry,Traveler,Casual
USR-00511,,,Essential spender,Casual
USR-00512,Aggressive,Entry,Essential spender,Casual
USR-00513,Distressed,Entry,Traveler,Power user
USR-00514,Aggressive,Established,Family/Home,Power user
USR-00515,,,Traveler,Casual
USR-00516,Conservative,Entry,Family/Home,Power user
USR-00517,Distressed,Entry,Traveler,Power user
USR-00518,,,Essential spender,Casual
USR-00519,,,Status spender,Casual
USR-00520,Conservative,Entry,Traveler,Casual
USR-00521,Distressed,Entry,Traveler,Power user
USR-00522,,,Status spender,Casual
USR-00523,,,Traveler,Dormant
USR-00524,Aggressive,Entry,Essential spender,Power user
USR-00525,Aggressive,Entry,Family/Home,Casual
USR-00526,Aggressive,Growing,Status spender,Power user
USR-00527,Aggressive,Entry,Traveler,Casual
USR-00528,Conservative,Entry,Family/Home,Casual
USR-00529,Conservative,Entry,Traveler,Power user
USR-00530,Conservative,Entry,Family/Home,Casual
USR-00531,,,Traveler,Casual
USR-00532,Distressed,Entry,Traveler,Casual
USR-00533,Distressed,Entry,Traveler,Power user
USR-00534,,,Foodie/Social,Dormant
USR-00535,Moderate,Entry,Essential spender,Power user
USR-00536,Moderate,Affluent,Family/Home,Power user
USR-00537,,,Traveler,At-risk
USR-00538,Aggressive,Entry,Traveler,Power user
USR-00539,Conservative,Entry,Traveler,At-risk
USR-00540,,,Traveler,Dormant
USR-00541,Aggressive,Entry,Traveler,Dormant
USR-00542,Aggressive,Entry,Tech/Digital native,Casual
USR-00543,,,Traveler,Dormant
USR-00544,Aggressive,Entry,Essential spender,Casual
USR-00545,Moderate,Entry,Traveler,Power user
USR-00546,,,Traveler,At-risk
USR-00547,Aggressive,Entry,Traveler,Casual
USR-00548,Conservative,Affluent,Family/Home,Power user
USR-00549,Moderate,Entry,Traveler,Casual
USR-00550,Conservative,Entry,Essential spender,Casual
USR-00551,,,Traveler,Casual
USR-00552,,,Traveler,At-risk
USR-00553,Moderate,Entry,Traveler,Power user
USR-00554,Aggressive,Entry,Traveler,Casual
USR-00555,Moderate,Established,Family/Home,Power user
USR-00556,Aggressive,Entry,Traveler,Casual
USR-00557,,,Traveler,Casual
USR-00558,Aggressive,Entry,Traveler,Power user
USR-00559,Moderate,Entry,Traveler,At-risk
USR-00560,Conservative,Growing,Status spender,Power user
USR-00561,,,Traveler,Dormant
USR-00562,,,Traveler,Power user
USR-00563,Moderate,Growing,Status spender,Power user
USR-00564,Aggressive,Entry,Traveler,Power user
USR-00565,Distressed,Entry,Traveler,Power user
USR-00566,Distressed,Entry,Traveler,
USR-00567,Moderate,Affluent,Family/Home,Power user
USR-00568,Moderate,Growing,Status spender,Power user
USR-00569,Aggressive,Entry,Traveler,Power user
USR-00570,,,Family/Home,Casual
USR-00571,,,Traveler,Dormant
USR-00572,Distressed,Entry,Traveler,Casual
USR-00573,Aggressive,Entry,Tech/Digital native,Casual
USR-00574,Aggressive,Entry,Tech/Digital native,Casual
USR-00575,Conservative,Affluent,Family/Home,Power user
USR-00576,,,Family/Home,Casual
USR-00577,Conservative,Entry,Traveler,Power user
USR-00578,Aggressive,Entry,Tech/Digital native,Casual
USR-00579,Aggressive,Entry,Status spender,Power user
USR-00580,,,Traveler,Casual
USR-00581,Moderate,Growing,Status spender,Power user
USR-00582,Conservative,Established,Family/Home,Power user
USR-00583,Conservative,Entry,Family/Home,Power user
USR-00584,Conservative,Growing,Status spender,Power user
USR-00585,Conservative,Entry,Essential spender,Casual
USR-00586,Conservative,Entry,Family/Home,Power user
USR-00587,Conservative,Entry,Traveler,At-risk
USR-00588,Aggressive,Entry,Essential spender,Power user
USR-00589,Moderate,Entry,Traveler,Power user
USR-00590,Aggressive,Entry,Essential spender,Casual
USR-00591,Aggressive,Growing,Status spender,Power user
USR-00592,Conservative,Entry,Essential spender,Power user
USR-00593,,,Traveler,Casual
USR-00594,Conservative,Entry,Traveler,Casual
USR-00595,Conservative,Entry,Foodie/Social,Dormant
USR-00596,Conservative,Entry,Traveler,Power user
USR-00597,Aggressive,Entry,Traveler,Power user
USR-00598,Conservative,Entry,Essential spender,Power user
USR-00599,,,Traveler,Dormant
USR-00600,,,Traveler,Dormant
USR-00601,Aggressive,Entry,Essential spender,Casual
USR-00602,Aggressive,Entry,Tech/Digital native,Casual
